year,agency_code,ach_score,eg_score,books,media_school,devices,device_access,act_per1000,bha_per1000,total_funds,total_ppe,he_pct,music_cat,theatre_cat,poverty,number_of_teachers,pct_met
2019,110450,59.9,64.9,13.23,2007,0.99,Yes,0,51.144,3753226,5051.45,0.261904776,Y,Y,NEITHER,49,11.8
2019,110451,56.9,85.3,15.32,2009,0.87,Yes,4.104,62.927,4046508,5535.58,0.294117659,Y,N,NEITHER,46,20
2019,110500,99.7,93.7,0,0,0.9,Yes,0,0,1607017,4195.87,0.764705896,Y,N,LOW,19,100
2019,111302,74.1,59.6,19.2,2000,0.55,Yes,3.1024,26.887,7942367,8213.41,0.397260279,Y,Y,LOW,101,46.2
2019,111304,52.8,64.4,36.16,2006,0.87,Yes,6.6667,106.667,2521254,8404.18,0.111111112,Y,N,NEITHER,30,25
2019,111306,72.8,73.3,32.64,2006,1.23,Yes,8.8889,20,3270086,7266.86,0.100000002,Y,N,LOW,36,0
2019,111312,65.7,75.2,28.56,2005,1.21,Yes,2.2936,6.881,2914828,6685.39,0.258064508,Y,Y,NEITHER,33,0
2019,111332,70.3,83.6,39.74,2003,1.05,Yes,2.3364,16.355,3314220,7743.51,0.342857152,Y,N,NEITHER,36,0
2019,111356,62.8,66.7,20.33,2008,0.63,Yes,10.7672,37.685,5226365,7034.14,0.5,Y,Y,NEITHER,67,0
2019,111360,69.8,76.5,36.8,2004,0.95,Yes,0,45.685,3100562,7869.45,0.266666681,Y,N,NEITHER,33,0
2019,111369,68.6,92.7,27.86,2014,0.84,Yes,34.2466,41.096,1726380,11824.53,0.75,Y,N,NEITHER,18,50
2019,111700,85.5,82.7,54.6,2000,0.74,Yes,11.7647,2.941,1229853,3617.22,0.421052635,,,LOW,17,50
2019,11A000,79.8,61.6,22.96,2005,3.31,No,0,2.262,,,0.322580636,Y,N,LOW,38,12.5
2019,11B000,69.6,70.5,19.17,2005,2.16,Yes,0,7.895,,,0.375,,,NEITHER,46,12.5
2019,11C000,70.1,68,0,0,5.41,Yes,23.6686,66.075,,,0.358208954,Y,Y,LOW,73,30
2019,11D000,67.3,54.6,2.98,2015,2.29,No,19.8807,7.952,,,0.5,Y,Y,LOW,48,27.3
2019,11K000,78.4,84.4,152.75,2006,2.52,Yes,11.4943,0,,,0.428571433,,,NEITHER,14,25
2019,120308,0,0,62.17,2003,0.26,Yes,39.604,19.802,1189480,11777.05,0,,,HIGH,16,0
2019,120310,99,0,0,0,3.14,No,,,366760,2657.7,0.333333343,Y,Y,LOW,3,100
2019,120312,75.1,95.4,24.79,2000,0.74,Yes,0,23.981,2244697,5382.97,0.319999993,Y,N,NEITHER,27,63.6
