Time,GeoType,GeoID,GeoRank,Geography,Number,Percent
2009-13,UHF42,107,4,Hunts Point - Mott Haven,56177,41.69
2009-13,UHF42,201,4,Greenpoint,35607,28.03
2009-13,UHF42,202,4,Downtown - Heights - Slope,39556,16.93
2009-13,UHF42,203,4,Bedford Stuyvesant - Crown Heights,87731,27.57
2009-13,UHF42,204,4,East New York,61136,33.17
2009-13,UHF42,205,4,Sunset Park,38987,30.25
2009-13,UHF42,206,4,Borough Park,86311,25.73
2009-13,UHF42,207,4,East Flatbush - Flatbush,55807,18.55
2009-13,UHF42,208,4,Canarsie - Flatlands,25749,12.65
2009-13,UHF42,209,4,Bensonhurst - Bay Ridge,29908,15.04
2009-13,UHF42,210,4,Coney Island - Sheepshead Bay,52212,19.22
2009-13,UHF42,211,4,Williamsburg - Bushwick,70374,32.41
2009-13,UHF42,301,4,Washington Heights,67762,26.09
2009-13,UHF42,302,4,Central Harlem - Morningside Heights,47166,28.44
2009-13,UHF42,303,4,East Harlem,34548,32.01
2009-13,UHF42,304,4,Upper West Side,25503,11.8
2009-13,UHF42,305,4,Upper East Side,14516,6.8
2009-13,UHF42,306,4,Chelsea - Clinton,16914,12.1
2009-13,UHF42,307,4,Gramercy Park - Murray Hill,11418,9.21
2009-13,UHF42,308,4,Greenwich Village - SoHo,7764,9.85
2009-13,UHF42,309,4,Union Square - Lower East Side,41829,21.67
2009-13,UHF42,310,4,Lower Manhattan,5609,10.92
2009-13,UHF42,401,4,Long Island City - Astoria,32827,16.47
2009-13,UHF42,402,4,West Queens,86931,19.13
2009-13,UHF42,403,4,Flushing - Clearview,36731,14.2
2009-13,UHF42,404,4,Bayside - Little Neck,7630,8.49
2009-13,UHF42,405,4,Ridgewood - Forest Hills,31732,12.9
2009-13,UHF42,406,4,Fresh Meadows,14398,15.08
2009-13,UHF42,407,4,Southwest Queens,36826,13.14
2009-13,UHF42,408,4,Jamaica,46624,16.05
2009-13,UHF42,409,4,Southeast Queens,18847,7.05
2009-13,UHF42,410,4,Rockaways,23361,20.85
2009-13,UHF42,501,4,Port Richmond,15111,22.77
2009-13,UHF42,502,4,Stapleton - St. George,20398,17
2009-13,UHF42,503,4,Willowbrook,7454,8.65
